title,text,rating,author,date,url,company,source_type,source_platform,search_keyword,collected_at
,좋네,5,방구,2026-01-15 09:29:41,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,아직 잘 모르겠지만 잘 만들어진거 같아요 잘 사용하면 도움 될거같아요,5,이찬종,2026-01-15 09:22:26,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,여기저기 광고 때리는거 보면 알겠지만 교육보다는 돈벌이에 환장한 앱임. 이걸로 영어 배울 바에는 차라리 어학원을 다니세요,1,Gentleman Belial,2026-01-15 09:21:11,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,역대급 영어앱,5,오천재미,2026-01-15 09:15:12,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,출퇴근 길에 공부하기 너무 좋네요! 꾸준히 잘 해볼게요!,5,Hye J,2026-01-15 08:52:43,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,복습하는데 도움도 되고 일상 표현도 공부에 도움이 되네요,5,럭키는미야옹,2026-01-15 07:54:25,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,좋아요 표현이 잘 되어 있어요,5,vincenzo k,2026-01-15 07:27:36,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,환불해줘요,1,임사랑,2026-01-15 02:28:34,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,잘 쓰고있어요 알긴하는데 생각은 안나는단어 학습하기에 좋은거같아요 그런데 비즈니스 영어 표현학습 빨리좀만들어주세요.....,4,minjeo,2026-01-15 02:07:41,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,좋아요~~ 다만 얻어걸리듯 맞춘 문제들도 있는데 5년뒤 학습은 놀랍네요 실력이 늘기를~,5,SEONGHWAN YOUN,2026-01-15 00:42:43,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,"아직은 잘 모르겠지만, 체계가 괜찮은 것 같습니다.",4,한국무교대한신관회,2026-01-15 00:20:36,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,앞으로 이걸로 영아공부시짇해봅니다,5,김강석0310,2026-01-15 00:03:21,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,한달에 1만9천원이아닌 그냥 1만원으로 해주세요.,5,이주원,2026-01-14 23:41:17,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,너무 쟈밌어요,5,김민우,2026-01-14 23:28:48,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,생각보다 재밌고 시간이 별로 안드네요,5,김영심,2026-01-14 23:26:38,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,영어 실력이 처참해서 늦게나마 시작해봅니다,5,서준범,2026-01-14 23:23:40,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,잘 쓰고 있습니다. 블루투스 키보드 연결해서 하면 더 좋은데 이제 가로모드만 지원 생각좀 해주세여 태블릿 충전하면서 쓰고싶을때 불편해가지고...,5,JY Oh,2026-01-14 23:05:25,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,재미있고 쉽게 접근이 가능하네요.,5,mihwa yoon,2026-01-14 22:35:21,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,영업중 유튜브 보고 혹해서 깔아봤어요 마침 영어 공부하고 싶었는데 광고도 없고 정말 재밌네요 ㅎㅎ,5,Grace Kim,2026-01-14 22:29:14,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,아니 이거 구독 할려고 했는데 자꾸 결제수단이 안된다고 뜨네요 전 결제하고 싶은데 자꾸 안된다고 뜨고 이거 어케 해야할까요 계좌 이체로는 안되나요 빨리 결제 갱신하고 싶어요 자꾸 뭐가 안된데요,1,최성민,2026-01-14 22:17:48,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,좋아요.,5,캡틴백,2026-01-14 22:06:54,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,영어를잘몰랐는데,5,신장희,2026-01-14 21:55:46,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,이번 업데이트로 듣기세션의 키보드가 줄어들었나요? 갑자기 오타율이 심해져서 문의드립니다.,4,상훈이,2026-01-14 20:41:22,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
,유튜브 쇼츠보면서 시간을 보내곤 했는데 이젠 즐겁게 자기개발 하면서 즐길수 있어서 좋아요,5,깜장콩흰콩,2026-01-14 20:13:18,https://play.google.com/store/apps/details?id=kr.epopsoft.word,malhae,review,playstore,말해보카,2026-01-18T14:34:37.234632
