title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
꾸준히 하게되는 앱,영어 공부 어플 이것저것 사용해봤지만 그중에서도 합리적인 가격에 자주 들여다보게 되는 앱이네요!!,5,인강듣는중 ..,2025-10-01T07:44:50-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Dubbed videos,Videos for Korean learning must not be dubbed into English.,4,Giap6795,2025-09-27T18:04:45-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영상랜덤 복습퀴즈에서 영원히 똑같은문제만 반복됨,서비스를 이따위로 운영하면서 돈을 처받음??? 똑같은문제 10개만 반복되는문제가 며칠째가고있음 업데이트좀 빨리 하라고요 뭐하는짓이야 ㅡㅡ,1,호계동삼색이,2025-09-25T20:54:18-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어공부 강추,앱에 대한 리뷰는 처음인데 진짜 좋네요 이거 전문가 수준의 레벨을 원하는 것 아니라면 케이크앱 하나로 영공부 충분할것 같습니다,5,미이너,2025-09-22T16:33:33-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
goôd,hi hi,5,hìnnn nee,2025-09-17T18:06:22-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
참. 개선할게 많은데….,"절대 반영하지 않는 앱. 

예를 들어 클래스 코스 100개중 95개 완료하면 스크롤 쭉 아래로 내려야 하는 불편함. 

코스더보기 하단에 학습 진행중인 코스가 바로 보이면 좋을텐데. 

스낵스 자동재생 반영도 안하고
재구독은 없을듯.",1,아이코닉샤,2025-09-13T18:39:08-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
짱좋아요,여태까지했던 유료결제중 가장 돈이 아깝지 않아요,5,만드만구,2025-09-10T16:50:08-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어쉽게 배울수있어요,영어쉽게 배울수있어요,5,쉐보르,2025-09-10T03:57:05-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
국,국,5,Hahshdhsg,2025-09-03T21:03:15-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
나이스,굿어플,5,좌님이삼,2025-09-01T21:07:30-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아여,좋고 간단하고 시작하기 좋습니다 재미있어요,5,rlgud,2025-08-31T07:44:34-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Good,Good,5,두두둥장,2025-08-26T21:17:55-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아유,도움이 됩니다,5,진짜 구매자,2025-08-23T18:24:14-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
Path 개선좀 해라,어지간하면 찾아와서 이런말 안 남기고싶은데 path에 있는 컨텐츠 중에 죄다 수정중에 있다고 학습할 수가 없네 뭔 이딴 쓰레기앱을 돈받고 파는게 다있냐,1,어너나지젭볘,2025-08-17T10:39:31-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
체고체고,조아옹,5,승현288384,2025-08-13T22:53:06-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어번역 안됨,"영어 어플 말해 보카 사용하다 기간이 끝나서 옮겼는데 듀오링고 랑  케이크 동시에 사용중인데  원어민 표현이랑  가까워서 케이크 좋게  느껴서 유료 가입했습니다 (광고뜨는것도싫고) 그런데 영어를 몰라서 어플을 사용하는건데 영어 단어,문장 번역 기능이 없어서 따로 번역 어플로  단어를  확인해야합니다  상당히 아쉬운 부분 지금도 ‘오늘밤에는 모든방이 다 찻어요  ‘인데 i’m afraid  로 단어가 시작하지만 왜 오늘밤예약이 다 찬게 i‘m afraid  인지 설명 한줄 조차 없음 번역기애도 i’m afraid 를검색하면’나는 두렵다‘ 라고 나오는데  설명도 없다는게 상당히 불친절하게 느껴짐 원어민 영어랑  가까워서 좋다고 느낀반면  영어를 할줄아는사람들 만을 위한 어플이라는 생각도 듬   영어 초보라면  단독으로 사용하기  어려울것 같음
그래서 왜 쳇gpt로 i’m afraid 로 시작 하냐고  물어보니 안타깝지만,안되었지만 으로 번역 된다고 하는데  정작  cake 한글 문장에는 오늘예약이 다 찻다  정도로만  이야기 하고 이럴거면 유료 가입해서 사용할게 아니라  쳇지피티랑  이야기 나누는게  나은것 아닌가 싶음",1,주먹으로새계일주,2025-08-12T03:37:29-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
굿,굿굿,5,림융,2025-08-09T09:54:19-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
영어를 좋아하게 되는 앱,너무 재밋어요,5,유학 희망자,2025-08-06T02:48:30-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
넘좋아요,잘 사용할께요!!,5,홀홍홍,2025-08-01T04:42:04-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
케이크 영어 짱짱,회화위주에 실전영어 도움 많이되고 게으르지 말라고 되어있는 매일학습 시스템 좋아요 영상공부도 재미있고요,5,탕캉이,2025-07-28T19:14:25-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
맛있는cake,fun cake,5,기타로주찬양,2025-07-26T16:46:04-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
케이크 플러스 사용자인데,"저 원래 리뷰 안남기는데 너무 좋아요ㅠㅠ 케이크 플러스 평생 쓰고싶음❤️
이렇게 재밌게 영어공부한 적은 처음이에요",5,최고입니다❤️,2025-07-24T09:50:37-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
굿 굿 굿,실력이 늘어납니다,5,백기사_짱,2025-07-22T03:06:20-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
굿,굿굿,5,ㅁㅎㄴㅎ왕 ㅗㅇㅎ. ㄱㅍ,2025-07-18T06:04:45-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
좋아요,정말 괜찮은 앱인것같아요,5,대머뤼,2025-07-16T21:51:56-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
구매복원 안해주고 응답도없음,새폰 변경 후 기존 구매한 애플아이디 로그인이안돼서 1년 구독 구매 복원 조치를 수차례 요청했는데 응답이없음,1,Apllensj,2025-07-15T16:41:51-07:00,cake,review,appstore,케이크,https://apps.apple.com/kr/app/id1350420987,2026-01-18T14:37:29.675064
