title,text,rating,author,date,company,source_type,source_platform,search_keyword,url,collected_at
기능은 좋은데 약간의 아쉬움이 있음,"2년간 사용했는데, 단어를 암기하는 기능 자체에는 만족하나
 다음과 같은 아쉬운 점이있음

1.너무나도 기초적인 어휘가 가끔 나옴
유치원때 암기했을 수준의 단어가 한두번씩 나올때가 있는데, 난이도 설정을 잘못한건지 분류를 잘못한건지 의문
2. 캐릭터가 너무 올드함...
솔직히 꾸미고 싶은 의욕도 들지 않음.",5,kite1731,2026-01-09T23:46:19-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
;;,"아니 문제를 풀게 해줘야지
20몇문제 풀었는데 결제유도 하길래
창 닫고 풀려하니까 못하게함
돈 없는 학생들은 어떻게 하라는건지
모르겠음;;;
이거 말고는 진짜 좋음",1,😘😘🐌🍀,2026-01-09T23:15:53-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
영어공부하기 위해 골랐습니다.,모르는 걸 복습하게 해주는 것이 좋습니다.,5,🩷❤️🧡💛💚🩵💙💙🤍🩶🤎🖤,2026-01-09T22:09:38-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
지림요,ㅇㅇ,5,아이언뽀이,2026-01-09T17:56:06-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
너무 좋아요ᩚ,영어가 늘 약해서 어떻게 채워야할까 했는데 말해보카 하면서 성적도 늘고 영어 어휘력도 많이 늘어서 망적해요ᩚ,3,음매 으네,2026-01-09T17:22:51-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
무료 아님 참고,1일차 끝나고 2일차 할라고 하면 무조건 결제해야함,1,모바일게임 전문 비평가,2026-01-09T06:15:08-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
의외네요!,생각햇던것 보다 문제풀이가 훨씬 쟀네요!ㅎㅎ,5,Jason Bourne2007,2026-01-09T03:43:49-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
프리미엄,잘 쓰던 중간에 프리미엄 결제하라는 창이 뜨는데 안하면 더는 못하는게 아쉬움,4,기겍,2026-01-09T03:24:44-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
잘 만들엇다!!,나도 모르게 계속 풀게되는 마법의 어플! 미디어 학습에 엄청 부정적이였는데 보카로 생각이 바뀜 ㅎ 넘 재밌음 ㅎㅎ,5,기아름드리,2026-01-09T02:07:31-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
좋네요,영어 너무 어렵지만 기초부터 배울수 있어서 좋아요,4,진주인어 제 별명이예요,2026-01-09T01:50:26-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
재미있네요!,"평소 김동현 선수 팬이라 매미킴TV 구독중인데 영상에서 말해보카 어플을 말씀하시길래 사용해봤는데 재미있습니다!

내년 여름 여행에는 해외에가서
프리토킹할수있도록 공부해보겠습니다",5,켬진,2026-01-08T22:41:32-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
이번에 나온 회화 너무 좋아요,대화 직접 해보은 거 너무 좋고 스토리도 재미있고 단어장에 추가 되는 것도 좋네요 ㅎㅎㅎ,5,송27,2026-01-08T20:49:36-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
정말 영어공부 하는데 최고다,정말 20분 순삭. 이제야 만나다니 수업 너무 재미있어요,5,늦맘,2026-01-08T17:03:40-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
최고,영어도 재미없던 내가 이앱 하니까 진짜 영어가 너무 재밌어짐ㅋㅋㅋ,5,최고따!,2026-01-08T07:35:31-07:00,malhae,review,appstore,말해보카,https://apps.apple.com/kr/app/id1460766549,2026-01-18T14:39:39.753629
