platform,rating,title,text,author,date,version
App Store,1,현재 웹화면이 원활하지 않은데 왜이러죠?,어제부터 로그인만하면 화면이 공백으로 넘어가지 않아요 ㅜ 다른 웹 익스플로러로 연결해봐도 같은 상황입니디.... 모바일로 수업듣기 힘든데 빨리 조치해주세요,ghtyasqw,2024-05-15,8.1.36
App Store,1,기본적인 튜터 훈련 좀..,튜터 다섯명 중 두명의 표정이나 말투가 너무 불친절합니다,구둥우우욷,2024-05-12,8.1.36
App Store,3,모바일로 학습시 활용에 제한이 있음,"Pc 보다는 모바일로 학습을 하는데 작은 화면에서는 학습화면이 잘립니다

그리고 예약 후 교재를 바로 선택하고 싶지 않은데 홈화면으로 갈 수가 없어 앱을 종료해야 합니다.",도대체가능한별명이뭐야,2024-05-11,8.1.36
App Store,4,영어공부하는데 최고 입니다.,다만 학습 앱 인데 아이패드용 앱도 개발이 되면 좋겠습니다.(가로로 두고 학습하는데 쉽게 이용하고 싶습니다.),순두부양,2024-05-07,8.1.33
App Store,1,무슨 업데이트를 이렇게 계속하나요?,한번 켜면 무한 업데이트로 자꾸 꺼졌다 재부팅돼서 사용이 거의 불가능합니다,sil049589002,2024-04-11,8.1.28
App Store,5,굉장히 훌륭한 서비스,굿,TAC from the KOREA,2024-02-28,8.1.23
App Store,5,Victoria 님 최고!,Victoria 님과 오늘 처음 수업이었는데 프리젠테이션 준비에서 큰 도움받았습니다. 역시 하버드생은 다른 건지 문맥도 긴 설명없이 다 알아듣고 조언 인상 깊었어요. 감사합니다.,Stella vision,2024-02-27,8.1.23
App Store,1,문자 광고 공지,문자에 공지라고 써놓고 내용은 광고인데 수신거부 링크도 없고 노이즈 심하네요. 이메일에 문자에 카톡에.. 적당히 좀 하세요. 링글 잠시 쉬고 있는데 다신 안하고 싶을 정도네요.,Mmmmmmang,2024-01-31,8.1.15
App Store,1,제발 업데이트 몰아서 해주세요,"접속할 때마다 업데이트 요청이 뜨는 걸로 괴롭기는 이 앱이 처음입니다.  새로운 기능이 생기는 것도 좋지만 업데이트 알람이 더 적게 오는 게 더 낫습니다. 이건 스팸 메일 수준의 짜증남이에요. (고생하시는 개발자님께 죄송합니다, 사용자의 의견으로만 말씀드려요)",노모어어노잉,2024-01-11,8.1.11
App Store,5,아이패드,아이패드 최적화 앱은 제공할 계획 없나요?,헐래밍,2023-12-12,8.1.2
App Store,5,좋은 서비스,조금 비싸긴 하지만 확실히 좋은 서비스임. 복습 부분이 특히 좋음,Ryan.jhlee,2023-10-07,8.0.16
App Store,1,사용 시 아직 불안정한게 있어요,"매번 접속시마다 크고 작은 업데이트가 있는데 여전히 일부 기능은 사용이 원활하지 않습니다. 특히 복습은 앱에서 수업 목록이 나왔다 사라졌다 하여 개선 부탁 드립니다. 태블릿용도 있다면 더 잘 활용할 것 같아요.

09.2023추가
여전히 아이패드용 앱은 출신전인가요?",Aassddf34,2023-09-06,8.0.13
App Store,5,링글 최고,"어디서나 공부할 수 있도록 해주는 링글앱 잘 사용하고 있습니다. 
다만 다른 분들이 많이 적으셨듯 아이패드용 앱을 사용할 수 있다면, 더 편하게 영어 수업 예복습을 할 수 있을 것 같아요. 개선 부탁드려요!
화이팅!!",슈퍼소냥이,2023-08-19,8.0.11
App Store,5,아이패드용 어플,너무 좋아요!! 아이패드용으로 호환되면 너무 좋을 것 같아요,다운받고시퍼어,2023-07-27,8.0.4
App Store,5,언제나 발전하는 링글👍,"1년 정도 링글에서 수업 듣고 있는데요, 매우 만족하며 듣고 있습니다. 1년 동안 교재, 웨비나, 수업듣는 방식, 진단  등 학습을 위한 시스템이 지속적으로 발전하더라고요. 그리고 그 발전의 방향이 단순히 상술이 아니라 정말 학습자들의 실력 향상을 위한 방향으로 가고 있는 것 같아요. 언제나 애쓰시는 링글팀의 진정성이 느껴져서 사용자 입장에서도 더 열심히 듣게 됩니다. 고민하고 계신 분들이 있으시다면 자신있게 추천합니다. 한 가지 아쉬운 점이 있다면 아이패드 전용앱도 나오면 좋겠어요😅",쿸ㅋ쿠,2023-07-06,8.0.4
App Store,2,맨날 업데이트,"아니.. 무슨 업데이트를 이렇게 자주 하나요?
그리고 자꾸 멈춤니다. 너무 불편해요.
수업의 질은 아직까지 만족합니다. 앱만 좀 어떻게 안되나요",plsmakeituserfriendly,2023-05-23,7.18.3
App Store,4,아이패드 지원,"전반적으로 잘 갖춰져있는 앱이라고 생각해요 원하는 경로 찾기도 수월하구요.  
다만 제가 이 링글 사용한지 일년반? 넘었는데
아직도 아이패드 지원이 안되네요. 
패드로 영어공부 하는 분들 많을텐데요..
2년전 리뷰에도 패드지원 빠른 시일내에 지원하겠다고 하시곤 아무런 진행상황 없는 걸까요...
패드 지원 되면 정말 좋을 것 같아요. ㅠㅠ",왜글이안올라가나,2023-05-23,7.18.3
App Store,1,아이패드 최적화,"아이패드 최적화 시켜주세요
요즘 태블릿으로 공부하는게 많이 보편화됐는데 아직 태블릿 버전을 지원하지 않아 불편합니다",Janeee26,2023-05-19,7.18.0
App Store,1,링글이라는 시스템에 대한 회의,"영어 공부하고 싶은 대상이 아니라
이미 영어를 잘하는 사람들을 위한 시스템",오아sis,2023-05-16,7.18.0
App Store,5,복습 탭 누르면,"수업 예약하는 창이 떠요 오늘 하루종일 그러네요
안들어가짐",Jihye Yang,2023-03-25,7.16.5
App Store,1,이거 아이폰 호환 안되는 수준인게요?,"매번 뭐 누르면 로딩 중이고 튜터 예약하려고 클릭하면 처음에는 아무 반응없고 다시 누르면 톱니바퀴만 무한으로 돌아갑니다
참고로 제 폰은 아이폰14입니다",아로이라요,2023-03-09,7.15.30
App Store,1,수업평가시 앱 팅김,"수업평가 하려고 하면 어플이 계속 팅김 현상이
발생해서 뭘 할수가 없네요",⚡️🤮⚡️,2023-03-06,7.15.30
App Store,2,접속오류,어플에 들어가면 흰색화면만 나오고 아무 것도 실행을 할 수가 없습니다. 삭제 후 재설치해도 문제가 해결되지 않아서 그냥 컴퓨터로 링글사이트 접속해서 수업 예약해야해요...,ㅋ류융,2023-03-01,7.15.30
App Store,4,아이패드에서 이용하기에는 편하지 않아요ㅠ,"모바일 앱 정말 잘 쓰고 있는데요~
요즘 공부할 때는 아이패드를 주로 쓰는데
예습하거나 할 때 텍스트가 크게 나온채 고정이라
오히려 화면 자체는 아이패드가 폰보다 큼에도 불구하고
한 화면에서 읽을 수 있는 문장은 훨씬 적네요...

이 부분 개선 좀 부탁드려요..!",츄어츄어,2023-01-21,7.15.30
App Store,3,아이패드용,아이패드용도 나왔으면 해요,chinchinla,2023-01-14,7.15.30
App Store,3,탭 에서 공부하기가 불편해요,"탭에서 깔아도 폰과같이 작은 화면으로 나와 불편해요, 스플릿 뷰도 지원되고. Pc화면 처럼 나오면 좋을것 같아요",토끼고양이야옹,2023-01-09,7.15.25
App Store,3,업데이트 그만 좀…,"아니 서비스는 넘 좋은데… 무슨 앱 켤때마다 업데이트인가요… 배포할거는 스케줄링을 좀 해서… 정기적으로 하시지… 무슨 업데이트할게 이리 많나요… ? 앱 킬때마다 업데이트 기다려야해서 짜증납니다 ㅠㅠ 켤때 업데이트 한번, 앱켜져서 버튼 누르면 필수 업데이트 시작한다고 또 한번…  후우…",tuddii222,2023-01-05,7.15.25
App Store,5,"예복습, 콘텐츠 열람을 앱으로 할수 있어 좋아요!","저는 수업은 PC에서 많이 하는데, 예습복습이나 출퇴근길에 콘텐츠 읽거나 듣는것은 앱으로 많이 합니다. 틈날 때마다 할 수 있어서 좋아요. 바이트사이즈 피드백이라는 복습 앱푸시 서비스 베타 테스트에도 참여하고 있는데, 내가 수업에서 배운 표현을 읽고 듣고 쓰고 말하고 할 수 있어서 좋은 것 같습니다. 정규 릴리즈할 때는 더 발전해있길 바랍니다.",트러블슛니디드,2023-01-05,7.15.25
App Store,5,지금까지 써본 영어회화 서비스 중 최고입니다!!!,"평생 영어공부를 해오면서 오만가지 서비스와 공부방법을 시도해보았습니다. 그러나 다 만족스럽지 못하였고 오래 지속하지 못했습니다. 링글은 다릅니다! 세계 최고 대학 튜터들과 직접 교류하고 대화할 수 있다는게 신기하기도 하고, 수준 높은 교정과 영어를 연습할 수 있어서 너무 좋습니다!!",Dongju_v,2023-01-05,7.15.25
App Store,5,인생 튜터를..,"인생 튜터를 만난 것 같아요. 좀 고급스러운 단어를 알려주시고, 문장 구조도 새롭게 잡아줘서 좋았어요",ByeByeBay,2023-01-05,7.15.25
App Store,5,이만한 영어 서비스 없습니다.,컨텐트 퀄리티와 튜터 퀄리티가 타 서비스 대비 압도적이라고 느낍니다. 잘 사용하고 있습니다.,Chris240249,2023-01-05,7.15.25
App Store,2,1월 이후 대용량 데이터를 소진하는 에러 현상 확인요청,칼럼 플레이할 때 갑자기 앱이 강제 종료되며 폰 발열이 되고 데이터 20기가가 한번에 소진 되는 에러 현상이 잇었습니다. 현 버전 문제인듯한데 빠른 조치바랍니다.,쿠밍23,2023-01-03,7.15.25
App Store,4,아이패드 어플,"아이패드 어플이 아직도 없다는것에 놀랐습니다.
왜냐하면 지금까지 laptop으로 수업을 했었거든요!
이 점은 타 어플에 비해 떨어지는 점 입니다.",없다. 그런거,2022-12-19,7.15.15
App Store,5,2017년부터 잘 쓰고 있습니다,"링글 서비스 통해서 mba 유학 준비부터 장학금 까지 모두 성공한 케이스에요. 유학 기간 중에도 링글 투터랑 에세이 과제 도움 받고 해외 취업을 위한 인터뷰 레쥬메 작성까지 도움 받았어요. 단순한 번역이 아닌 맥락에 맞는 원어민 표현으로 배우고 쓸수 있는건 유학원 통틀어 링글 만한 곳이 없다고 자신합니다! 졸업 후에 목적이 사라지니까 자연스럽게 안쓰게 되다가, 최근에 외국계 회사 다니면서 다시 시작했어요. 그사이에 링글도 많이 진화했지만 여전히 고급 영어를 배우는 핵심은 그대로네요. 링글 진심으로 응원합니다!",윰마쓰,2022-12-14,7.15.15
