data_id,company,source_type,source_platform,search_keyword,title,text,rating,author,date,url,collected_at
56,maxai,sns,youtube,위버스브레인,,"여러분들의 소중한 시간과 돈을 지켜드리는 채널 【호갱구조대】입니다.

잘 알지 못해 손해볼 수 있는 부분들에 대해서 팩트만 집어 쉽고 빠르게 알려드릴게요 ^∇^ …
...더보기",,,,https://www.youtube.com/watch?v=RSSCgaqygqM,2026-01-18T14:04:06.896094
57,maxai,sns,youtube,위버스브레인,,"#로블록스 #로블 #게임 #shorts #싸모스 #브레인롯  #브레인롯훔치기
진짜 다 가지고프다 
...더보기",,,,https://www.youtube.com/watch?v=oveqcsMlpFM,2026-01-18T14:04:06.896102
58,maxai,sns,youtube,위버스브레인,,"영어 좀 못해도 괜찮은 이유 두번째 - 어머니가 미국인이시고, 미국에서 태어나도 번역기 돌려...

샷아웃투 파파고 …
...더보기",,,,https://www.youtube.com/watch?v=YjiNqKR36No,2026-01-18T14:04:06.896104
59,maxai,sns,youtube,위버스브레인,,"#로블록스 #브레인롯훔치기로블록스 #브레인롯훔치기이벤트 
...더보기",,,,https://www.youtube.com/watch?v=HMRCRo2_Hlc,2026-01-18T14:04:06.896105
61,maxai,sns,youtube,위버스브레인,,"카데바 영상 출처
Institute of Human Anatomy
Eccles Health Sciences Library Digital Publishing 
...더보기",,,,https://www.youtube.com/watch?v=J3DVYg4AQtY,2026-01-18T14:04:06.896107
62,maxai,sns,youtube,위버스브레인,,"[출처]
•위버스 라이브 - 🤓 (25.07.01)
•위버스 라이브 - 위버스 라이브 (25.07.02) …
...더보기",,,,https://www.youtube.com/watch?v=__DNkqDLxjk,2026-01-18T14:04:06.896108
63,maxai,sns,youtube,위버스브레인,,"#리뷰띠 #아이폰 #시리 #독도 
.
얼마 전 시리에게 독도는 누구 땅인지 물어보면 ""일본땅""이라고 답한다는 이야기를 들었는데 …
...더보기",,,,https://www.youtube.com/watch?v=Jb5BlxJCNDw,2026-01-18T14:04:06.896109
64,maxai,sns,youtube,위버스브레인,,"민규의 암기법으로 중국성 다 외운 세븐틴 연상법
#세븐틴 #seventeen #svt #mingyu #밍구 #밍규 #똑똑강쥐 
 …
...더보기",,,,https://www.youtube.com/watch?v=rTxsMUrDaa8,2026-01-18T14:04:06.896109
69,maxai,sns,youtube,위버스브레인,,"#로블록스 #브레인롯 #브레인롯훔치기로블록스 
...더보기",,,,https://www.youtube.com/watch?v=YBQh0nhN-xA,2026-01-18T14:04:06.896114
70,maxai,sns,youtube,위버스브레인,,"휴대폰 성지 가격으로 휴대폰 구매하기 ↓↓↓
https://phonesungji.my.canva.site/you... 
...더보기",,,,https://www.youtube.com/watch?v=vAiVcKsBCoc,2026-01-18T14:04:06.896115
